metric,max_emerg_wait,value,num_beds
emergency_patients_seen,1,"[60, 62, 53, 60, 48, 49, 59, 58, 69, 60, 58, 58, 57, 44, 63, 49, 48, 63, 52, 49, 70, 58, 60, 57, 61, 50, 62, 54, 72, 59, 66, 61, 62, 58, 55, 56, 58, 52, 49, 54, 52, 46, 62, 48, 72, 55, 65, 63, 61, 69, 56, 58, 73, 60, 60, 57, 49, 74, 54, 60, 60, 74, 80, 57, 75, 50, 61, 61, 52, 62, 70, 73, 79, 56, 67, 72, 53, 48, 65, 56, 58, 51, 80, 56, 49, 66, 52, 61, 68, 53, 58, 61, 55, 53, 73, 53, 61, 58, 76, 57]",50
elective_patients_seen,1,"[14, 12, 6, 10, 9, 5, 7, 8, 12, 9, 6, 12, 11, 7, 12, 7, 6, 12, 8, 6, 12, 12, 7, 9, 7, 7, 5, 11, 9, 6, 6, 6, 9, 14, 5, 8, 9, 6, 10, 11, 7, 6, 11, 8, 11, 8, 10, 9, 8, 12, 6, 5, 15, 9, 11, 8, 6, 11, 5, 9, 8, 15, 15, 8, 9, 9, 11, 7, 6, 13, 9, 10, 13, 11, 13, 12, 6, 3, 12, 11, 11, 7, 19, 14, 7, 10, 7, 11, 11, 10, 4, 9, 13, 9, 13, 9, 9, 9, 14, 11]",50
daycase_patients_seen,1,"[14, 10, 5, 6, 6, 6, 8, 6, 7, 9, 9, 5, 8, 3, 10, 6, 5, 8, 4, 5, 9, 8, 11, 8, 9, 4, 8, 6, 10, 7, 6, 4, 6, 7, 5, 7, 7, 4, 8, 11, 6, 4, 5, 5, 6, 9, 8, 12, 11, 13, 7, 5, 12, 9, 8, 7, 4, 9, 5, 7, 7, 13, 16, 6, 8, 11, 9, 9, 8, 9, 7, 10, 10, 8, 11, 12, 6, 3, 9, 7, 10, 5, 18, 6, 9, 11, 8, 10, 9, 8, 8, 7, 10, 5, 9, 8, 11, 5, 6, 7]",50
emergency_patients_cancelled,1,"[32, 37, 41, 29, 38, 40, 33, 37, 37, 32, 40, 30, 40, 38, 34, 42, 40, 29, 43, 39, 29, 31, 36, 41, 35, 42, 41, 42, 24, 37, 25, 32, 37, 33, 32, 31, 33, 35, 38, 35, 40, 46, 35, 43, 27, 37, 28, 31, 35, 29, 34, 34, 23, 30, 28, 38, 34, 24, 38, 28, 30, 26, 16, 32, 30, 41, 30, 34, 42, 30, 26, 23, 19, 36, 25, 23, 37, 39, 24, 36, 32, 41, 11, 41, 37, 25, 41, 34, 30, 42, 34, 31, 38, 39, 25, 41, 34, 39, 22, 31]",50
elective_patients_cancelled,1,"[25, 35, 32, 31, 33, 37, 33, 32, 27, 35, 32, 30, 32, 37, 29, 35, 35, 32, 32, 33, 28, 31, 34, 28, 32, 32, 36, 29, 29, 36, 35, 34, 29, 23, 37, 33, 29, 34, 33, 30, 30, 33, 29, 31, 28, 31, 30, 31, 31, 29, 34, 35, 25, 30, 28, 33, 33, 28, 36, 26, 29, 24, 24, 34, 23, 34, 30, 33, 37, 30, 27, 31, 25, 31, 29, 29, 32, 36, 28, 31, 29, 33, 18, 24, 34, 27, 35, 27, 29, 31, 35, 31, 25, 32, 27, 32, 36, 30, 26, 27]",50
daycase_patients_cancelled,1,"[49, 47, 54, 54, 52, 48, 51, 53, 52, 55, 58, 54, 50, 60, 44, 54, 53, 50, 57, 58, 52, 52, 54, 49, 51, 53, 49, 45, 49, 49, 46, 57, 52, 46, 49, 57, 54, 57, 54, 48, 55, 57, 56, 52, 50, 53, 54, 48, 52, 47, 52, 53, 51, 50, 57, 52, 52, 52, 55, 52, 51, 46, 48, 49, 49, 51, 47, 49, 54, 45, 54, 50, 47, 53, 47, 45, 58, 67, 54, 57, 49, 58, 43, 47, 56, 50, 51, 53, 46, 56, 42, 50, 44, 54, 49, 48, 43, 52, 48, 46]",50
emergency_surgery,1,"[101.84999999999997, 92.74999999999999, 81.725, 104.64999999999998, 75.24999999999999, 72.27499999999998, 96.075, 88.89999999999998, 101.325, 104.3, 81.89999999999999, 106.75, 88.725, 66.50000000000001, 96.77499999999998, 74.025, 81.89999999999996, 104.47499999999998, 76.29999999999997, 89.77499999999996, 111.64999999999998, 97.99999999999999, 98.35000000000001, 86.62499999999999, 100.62499999999997, 77.00000000000001, 86.80000000000001, 89.95, 118.65, 88.725, 105.7, 96.77499999999998, 95.54999999999998, 89.95, 97.47499999999998, 93.79999999999997, 86.09999999999998, 85.74999999999999, 81.37499999999997, 96.24999999999997, 78.04999999999998, 69.99999999999999, 101.85, 75.95000000000003, 114.44999999999996, 85.925, 109.72499999999998, 110.42499999999998, 95.02499999999996, 110.07499999999999, 86.79999999999997, 86.79999999999998, 116.02499999999998, 99.40000000000002, 102.19999999999996, 92.22500000000001, 82.775, 122.14999999999998, 87.14999999999996, 103.24999999999999, 99.74999999999999, 115.49999999999997, 125.30000000000001, 92.92499999999998, 111.825, 85.39999999999999, 100.27499999999999, 96.425, 83.64999999999999, 104.99999999999999, 109.89999999999995, 121.27499999999995, 129.325, 93.44999999999999, 114.62499999999999, 117.25, 95.37499999999997, 75.95, 116.37499999999997, 87.14999999999999, 95.20000000000002, 83.12499999999997, 138.94999999999993, 86.79999999999997, 79.27499999999998, 104.29999999999995, 86.80000000000001, 94.675, 104.29999999999997, 81.37499999999997, 87.85, 95.375, 82.425, 81.37499999999999, 119.17499999999997, 82.07499999999999, 96.42499999999997, 83.64999999999998, 123.89999999999999, 98.52499999999999]",50
elective_surgery,1,"[33.25, 21.75, 12.375, 18.875, 20.8125, 10.1875, 18.3125, 16.0, 28.5, 19.6875, 17.625, 23.625, 24.8125, 15.3125, 24.0, 14.9375, 13.875, 24.75, 17.125, 16.875, 25.5, 27.0, 17.1875, 22.6875, 15.3125, 16.0625, 10.5625, 19.9375, 23.8125, 16.5, 12.375, 16.875, 21.1875, 34.0, 12.8125, 16.375, 18.5625, 12.375, 21.5, 24.0625, 13.0625, 13.5, 24.8125, 17.125, 27.0625, 20.5, 17.0, 19.3125, 19.375, 28.125, 15.0, 11.3125, 34.3125, 23.8125, 25.5625, 16.75, 15.0, 25.1875, 15.8125, 23.8125, 20.875, 35.0625, 35.4375, 19.0, 22.6875, 21.1875, 23.6875, 15.3125, 15.375, 28.8125, 24.1875, 23.75, 32.1875, 19.9375, 28.8125, 25.125, 22.125, 7.6875, 26.25, 21.0625, 22.5625, 17.5625, 43.8125, 31.75, 18.3125, 24.125, 17.9375, 22.1875, 22.5625, 18.875, 11.375, 24.1875, 26.9375, 17.8125, 29.5625, 20.4375, 18.1875, 20.8125, 29.875, 24.8125]",50
daycase_surgery,1,"[14.375, 14.125, 7.90625, 5.8125, 7.5, 7.875, 10.4375, 8.25, 6.53125, 12.09375, 9.84375, 5.46875, 11.375, 2.71875, 16.375, 9.5625, 9.21875, 11.1875, 5.3125, 6.21875, 11.34375, 10.8125, 15.21875, 10.0625, 13.40625, 6.4375, 12.125, 9.9375, 14.3125, 10.46875, 6.75, 6.0625, 8.8125, 14.40625, 8.84375, 8.40625, 11.21875, 6.25, 8.75, 10.34375, 8.625, 9.25, 7.53125, 8.28125, 9.0, 10.40625, 10.8125, 15.375, 12.40625, 17.59375, 9.53125, 6.21875, 13.125, 15.65625, 8.5625, 8.96875, 5.875, 11.90625, 6.78125, 9.34375, 10.65625, 15.34375, 18.8125, 8.25, 10.4375, 12.96875, 14.15625, 10.78125, 11.375, 11.53125, 12.90625, 17.3125, 16.0, 8.5625, 17.09375, 17.4375, 6.375, 5.15625, 10.03125, 9.53125, 13.5625, 6.21875, 20.4375, 8.8125, 13.21875, 16.53125, 12.5, 11.6875, 11.34375, 10.25, 16.25, 9.90625, 14.125, 8.84375, 14.53125, 10.0625, 17.84375, 10.34375, 11.0625, 11.21875]",50
emergency_patients_seen,2,"[58, 62, 52, 60, 48, 49, 59, 58, 69, 60, 58, 58, 57, 44, 64, 49, 48, 63, 52, 49, 69, 58, 60, 57, 61, 50, 62, 50, 72, 59, 66, 61, 63, 58, 55, 56, 58, 52, 50, 54, 52, 46, 62, 49, 71, 55, 65, 63, 61, 69, 60, 54, 73, 60, 60, 57, 50, 74, 54, 60, 60, 74, 80, 57, 75, 50, 61, 61, 52, 62, 70, 73, 79, 56, 67, 72, 53, 48, 65, 56, 58, 51, 77, 56, 49, 66, 52, 60, 67, 54, 58, 59, 55, 53, 73, 53, 61, 58, 76, 57]",50
elective_patients_seen,2,"[14, 12, 5, 10, 9, 5, 7, 8, 12, 9, 6, 12, 11, 7, 12, 7, 6, 12, 8, 6, 12, 12, 7, 9, 7, 7, 5, 10, 9, 6, 6, 6, 9, 14, 5, 8, 9, 6, 9, 11, 7, 6, 11, 7, 11, 8, 10, 9, 8, 12, 7, 4, 15, 9, 11, 8, 5, 11, 7, 9, 8, 15, 15, 8, 9, 9, 11, 7, 6, 13, 9, 10, 13, 11, 13, 12, 6, 3, 12, 11, 11, 7, 21, 14, 7, 10, 7, 9, 13, 9, 4, 9, 13, 9, 13, 9, 9, 9, 14, 11]",50
daycase_patients_seen,2,"[12, 10, 4, 6, 6, 6, 8, 6, 7, 9, 9, 5, 8, 3, 10, 6, 5, 8, 4, 5, 9, 8, 11, 8, 9, 4, 8, 6, 10, 7, 6, 4, 6, 7, 5, 7, 7, 4, 7, 11, 6, 4, 5, 5, 5, 9, 8, 12, 11, 13, 8, 5, 12, 9, 8, 7, 3, 9, 6, 7, 7, 13, 16, 7, 8, 11, 9, 9, 8, 9, 7, 10, 11, 8, 11, 12, 6, 3, 9, 7, 10, 5, 19, 6, 9, 11, 8, 9, 9, 8, 8, 7, 10, 5, 9, 8, 11, 5, 6, 7]",50
emergency_patients_cancelled,2,"[32, 37, 44, 29, 38, 40, 33, 37, 37, 32, 40, 30, 40, 38, 32, 42, 40, 29, 43, 39, 29, 31, 36, 41, 35, 42, 41, 46, 24, 37, 25, 32, 35, 33, 32, 31, 33, 35, 38, 35, 40, 46, 35, 46, 28, 37, 28, 31, 35, 29, 30, 38, 23, 30, 28, 38, 34, 24, 38, 28, 30, 26, 16, 32, 30, 41, 30, 34, 42, 30, 26, 23, 19, 36, 25, 23, 37, 39, 24, 36, 32, 41, 10, 41, 37, 25, 41, 35, 31, 38, 34, 34, 38, 39, 24, 41, 34, 39, 22, 31]",50
elective_patients_cancelled,2,"[25, 35, 33, 31, 33, 37, 33, 32, 27, 35, 32, 30, 32, 37, 29, 35, 35, 32, 32, 33, 28, 31, 34, 28, 32, 32, 36, 30, 29, 36, 35, 34, 29, 23, 37, 33, 29, 34, 34, 30, 30, 33, 29, 32, 28, 31, 30, 31, 31, 29, 33, 36, 25, 30, 28, 33, 34, 28, 34, 26, 29, 24, 24, 34, 23, 34, 30, 33, 37, 30, 27, 31, 25, 31, 29, 29, 32, 36, 28, 31, 29, 33, 16, 24, 34, 27, 35, 29, 27, 32, 35, 31, 25, 32, 27, 32, 36, 30, 26, 27]",50
daycase_patients_cancelled,2,"[51, 47, 55, 54, 52, 48, 51, 53, 52, 55, 58, 54, 50, 60, 44, 54, 53, 50, 57, 58, 52, 52, 54, 49, 51, 53, 49, 45, 49, 49, 46, 57, 52, 46, 49, 57, 54, 57, 55, 48, 55, 57, 56, 52, 51, 53, 54, 48, 52, 47, 51, 53, 51, 50, 57, 52, 53, 52, 54, 52, 51, 46, 48, 48, 49, 51, 47, 49, 54, 45, 54, 50, 46, 53, 47, 45, 58, 67, 54, 57, 49, 58, 42, 47, 56, 50, 51, 54, 46, 56, 42, 50, 44, 54, 49, 48, 43, 52, 48, 46]",50
